(With) best wishes;Mit freundlichen Grüßen, mit den besten Wünschen;Festivities and public holidays (MSW);Englisch
Advent;Advent;Festivities and public holidays (MSW);Englisch
anniversary;Jahrestag;Festivities and public holidays (MSW);Englisch
annual;jährlich;Festivities and public holidays (MSW);Englisch
April Fool's Day;der 1. April;Festivities and public holidays (MSW);Englisch
Ascension Day;Himmelfahrt(stag);Festivities and public holidays (MSW);Englisch
Ash Wednesday;Aschermittwoch;Festivities and public holidays (MSW);Englisch
ball;Ball;Festivities and public holidays (MSW);Englisch
Bank Holiday;etwa: gesetzlicher Feiertag;Festivities and public holidays (MSW);Englisch
bonfire;(Freuden-)Feuer;Festivities and public holidays (MSW);Englisch
Boxing Day;der zweite Weihnachtstag;Festivities and public holidays (MSW);Englisch
calendar (!);Wandkalender (!);Festivities and public holidays (MSW);Englisch
candle;Kerze;Festivities and public holidays (MSW);Englisch
carnival;Karneval;Festivities and public holidays (MSW);Englisch
carol singer;Sternsinger;Festivities and public holidays (MSW);Englisch
celebration;Feier, Fest;Festivities and public holidays (MSW);Englisch
charity;Wohltätigkeitsverein;Festivities and public holidays (MSW);Englisch
chimney;Schornstein;Festivities and public holidays (MSW);Englisch
Christmas;Weihnachten, Weihnachts-;Festivities and public holidays (MSW);Englisch
Christmas carol;Weihnachtslied;Festivities and public holidays (MSW);Englisch
Christmas Day;der erste Weihnachtstag;Festivities and public holidays (MSW);Englisch
Christmas Eve;der Heilige Abend;Festivities and public holidays (MSW);Englisch
Christmas tree;Weihnachtsbaum;Festivities and public holidays (MSW);Englisch
church festival;Kirchenfest;Festivities and public holidays (MSW);Englisch
Congratulations!;Herzlichen Glückwunsch!, Ich gratuliere!;Festivities and public holidays (MSW);Englisch
costume;Kostüm, Verkleidung;Festivities and public holidays (MSW);Englisch
custom;Sitte, Brauch;Festivities and public holidays (MSW);Englisch
dance  --  to dance;Tanz, Ball  --  tanzen;Festivities and public holidays (MSW);Englisch
decoration(s)  --  to decorate sth.;Schmuck (z.B. am Baum)  --  etwas schmücken;Festivities and public holidays (MSW);Englisch
diary;hier: Terminkalender, Taschenkalender;Festivities and public holidays (MSW);Englisch
Easter bunny;Osterhase;Festivities and public holidays (MSW);Englisch
Easter Day;Ostersonntag;Festivities and public holidays (MSW);Englisch
Easter egg;Osterei;Festivities and public holidays (MSW);Englisch
Easter Monday;Ostermontag;Festivities and public holidays (MSW);Englisch
equivalent;Entsprechung, Gegenstück;Festivities and public holidays (MSW);Englisch
fancy dress;(Masken-)Kostüm, Verkleidung;Festivities and public holidays (MSW);Englisch
Father Christmas (BE);der Weihnachtsmann (BE);Festivities and public holidays (MSW);Englisch
feast;hier: Festessen, Festmahl;Festivities and public holidays (MSW);Englisch
festival;Fest      ;Festivities and public holidays (MSW);Englisch
festive season;Festzeit;Festivities and public holidays (MSW);Englisch
festivity, festivities;Feier, Feierlichkeiten;Festivities and public holidays (MSW);Englisch
fireworks (plur.!)  --  firework;Feuerwerk  --  Feuerwerkskörper;Festivities and public holidays (MSW);Englisch
get-together ;Treffen;Festivities and public holidays (MSW);Englisch
gingerbread  --  ginger;Gewürzkuchen, Lebkuchen  --  Ingwer;Festivities and public holidays (MSW);Englisch
Good Friday;Karfreitag;Festivities and public holidays (MSW);Englisch
Good luck!;Viel Glück!;Festivities and public holidays (MSW);Englisch
greetings card  --  card;Grußkarte  --  Karte;Festivities and public holidays (MSW);Englisch
Guy Fawkes Night = Bonfire Night;5. November (Erinnerung an das Beinahe-Attentat von Guy Fawkes auf das englische Parlament);Festivities and public holidays (MSW);Englisch
Halloween;Tag vor Allerheiligen;Festivities and public holidays (MSW);Englisch
Happy birthday! / Many happy returns of the day!  --  return;Herzlichen Glückwunsch! / Alles Gute zum Geburtstag!  --  Rückkehr;Festivities and public holidays (MSW);Englisch
Happy New Year!;Ein gutes neues Jahr!;Festivities and public holidays (MSW);Englisch
holly;Stechpalme (immergrüner Strauch mit roten Beeren);Festivities and public holidays (MSW);Englisch
home-made;selbst gebastelt, hausgemacht;Festivities and public holidays (MSW);Englisch
in honor of s.o. (AE)  =  in honour of s.o. (BE);zu jds. Ehre;Festivities and public holidays (MSW);Englisch
in memory of s.o./sth.;zur Erinnerung / zum Gedenken an jdn./etwas;Festivities and public holidays (MSW);Englisch
independence  --  independent;Unabhängigkeit  --  unabhängig;Festivities and public holidays (MSW);Englisch
invitation  --  to invite s.o. to sth.;Einladung  --  jdn. zu etwas einladen;Festivities and public holidays (MSW);Englisch
Labor Day (AE);etwa: Tag der Arbeit (1. Montag im September);Festivities and public holidays (MSW);Englisch
Lent;Fastenzeit;Festivities and public holidays (MSW);Englisch
Martin Luther King Day;Feiertag in den USA (3. Montag im Januar) -- MLK-Day;Festivities and public holidays (MSW);Englisch
May Day;gesetzlicher Feiertag am ersten Montag im Mai;Festivities and public holidays (MSW);Englisch
mean;gemein, gehässig;Festivities and public holidays (MSW);Englisch
Memorial Day (AE);Volkstrauertag in den USA (letzter Montag im Mai);Festivities and public holidays (MSW);Englisch
Merry Christmas!;Fröhliche Weihnachten!;Festivities and public holidays (MSW);Englisch
midnight;Mitternacht;Festivities and public holidays (MSW);Englisch
mistletoe;Mistel;Festivities and public holidays (MSW);Englisch
national day;Nationalfeiertag;Festivities and public holidays (MSW);Englisch
New Year's Day;Neujahr, der 1. Januar;Festivities and public holidays (MSW);Englisch
New Year's Eve;Silvester, der 31. Dezember;Festivities and public holidays (MSW);Englisch
parade;Umzug, Parade;Festivities and public holidays (MSW);Englisch
plastic;Kunststoff;Festivities and public holidays (MSW);Englisch
practical joke;Streich;Festivities and public holidays (MSW);Englisch
present;Geschenk;Festivities and public holidays (MSW);Englisch
Presidents' Day;Feiertag in den USA zu Ehren aller Präsidenten (3. Montag im Februar);Festivities and public holidays (MSW);Englisch
public holiday;gesetzlicher Feiertag;Festivities and public holidays (MSW);Englisch
Remembrance Day;Volkstrauertag in Großbritannien;Festivities and public holidays (MSW);Englisch
saint (St. + name, e.g. St. George);Heilige/r/s (St.);Festivities and public holidays (MSW);Englisch
Santa Claus (AE);der Weihnachtsmann (AE);Festivities and public holidays (MSW);Englisch
Shrove Tuesday;Faschingsdienstag;Festivities and public holidays (MSW);Englisch
special occasion;besonderer Anlass, besonderes Ereignis;Festivities and public holidays (MSW);Englisch
St. Patrick's Day;der 17. März (irischer Nationalfeiertag);Festivities and public holidays (MSW);Englisch
Thanksgiving Day;Tag des Erntedankfestes in den USA (letzter Donnerstag im November);Festivities and public holidays (MSW);Englisch
the Fourth of July  =  Independence Day;Unabhängigkeitstag (USA);Festivities and public holidays (MSW);Englisch
the Pilgrims;die Pilgerväter;Festivities and public holidays (MSW);Englisch
the Three Kings;die Heiligen Drei Könige;Festivities and public holidays (MSW);Englisch
to *drink a toast (to s.o./sth.);(auf jdn./etwas) trinken;Festivities and public holidays (MSW);Englisch
to *hang up one's stocking;den Weihnachtsstrumpf aufhängen;Festivities and public holidays (MSW);Englisch
to *hold a party / a meeting / … ;eine Party / eine Besprechung / … veranstalten;Festivities and public holidays (MSW);Englisch
to *make things;basteln;Festivities and public holidays (MSW);Englisch
to *see the New Year in;das neue Jahr begrüßen;Festivities and public holidays (MSW);Englisch
to *take place --  (!) to *sit down;stattfinden  --  (!) Platz nehmen;Festivities and public holidays (MSW);Englisch
to celebrate sth.;etwas feiern;Festivities and public holidays (MSW);Englisch
to collect money  --  collection;Geld sammeln  --  Sammlung;Festivities and public holidays (MSW);Englisch
to dress up (as s.o.);sich (als jdn.) verkleiden;Festivities and public holidays (MSW);Englisch
to play a trick (on s.o.);jdm. einen Streich spielen;Festivities and public holidays (MSW);Englisch
treat;etwas Besonderes (oft Süßigkeiten);Festivities and public holidays (MSW);Englisch
trick or treat;Ausspruch der Kinder zu Halloween (in etwa: Streich oder Süßes);Festivities and public holidays (MSW);Englisch
turkey;Truthahn;Festivities and public holidays (MSW);Englisch
Twelfth Night;der 6. Januar (Ende der Weihnachtszeit);Festivities and public holidays (MSW);Englisch
vacation (AE);Ferien, Urlaub;Festivities and public holidays (MSW);Englisch
Valentine's Day;Valentinstag;Festivities and public holidays (MSW);Englisch
Whitsun (BE), Pentecost (AE);Pfingsten;Festivities and public holidays (MSW);Englisch
With love (from);Herzlichst (Dein/e);Festivities and public holidays (MSW);Englisch
workday;Arbeitstag;Festivities and public holidays (MSW);Englisch
wreath;Kranz;Festivities and public holidays (MSW);Englisch
year after year;Jahr für Jahr;Festivities and public holidays (MSW);Englisch
